consumption,price,unspecified,hydro,wind_onshore,thermal,solar,export/import
"-2,019","519,89",0.00,5370,303,154,0.000,3808.09
"-1,979","516,92",0.00,5071,271,155,0.006,3517.99
"-1,953","511,1",0.00,4711,223,154,0.007,3135.51
"-1,917","501,7",0.00,4236,171,151,0.006,2640.68
"-1,833","477,59",0.00,3561,142,147,0.001,2016.93
"-1,784","480,17",0.01,3058,158,148,0.002,1580.35
"-1,757","474,03",0.00,3054,199,150,0.001,1647.14
"-1,748","473,01",0.01,3087,242,153,0.000,1733.44
"-1,739","473,42",0.01,3236,326,154,0.000,1976.70
"-1,75","477,71",0.00,3470,461,158,0.001,2339.50
"-1,812","489,58",0.01,3505,571,156,0.000,2420.09
"-1,947","512,29",0.01,4420,796,158,0.000,3427.52
"-2,03","524,87",0.00,5741,985,160,0.003,4856.73
"-2,046","528,86",0.00,6017,1090,163,0.002,5223.33
"-2,041","526,61",0.00,6115,1184,162,0.006,5420.39
"-2,045","526,61",0.00,6100,1230,164,0.006,5448.86
"-2,065","523,85",0.00,5966,1344,165,0.011,5410.42
"-2,065","520,47",0.00,5568,1483,166,0.009,5151.49
"-2,071","517,91",0.00,5636,1572,166,0.006,5303.66
"-2,101","518,63",0.00,5598,1630,166,0.001,5292.62
"-2,165","518,53",0.00,5688,1693,166,0.000,5381.89
"-2,158","523,23",0.00,5736,1704,164,0.000,5446.58
"-2,147","522,21",0.00,5747,1742,165,0.000,5505.97
"-2,109","517,81",0.00,5466,1814,166,0.000,5337.55
"-2,071","511,27",0.00,5180,1821,165,0.000,5093.40
"-2,028","508,5",0.00,4990,1848,162,0.000,4971.46
"-2,007","506,25",0.01,4457,1871,159,0.000,4480.62
"-1,969","501,55",0.01,3860,1856,158,0.000,3905.08
"-1,903","475,16",0.00,3265,1900,156,0.002,3418.54
"-1,857","465,59",0.01,2597,1870,154,0.001,2764.91
"-1,834","451,95",0.00,2363,1893,155,0.000,2576.82
"-1,821","446,46",0.00,2281,1870,156,0.000,2484.99
"-1,83","447,07",0.01,2263,1904,157,0.000,2494.74
"-1,856","463,55",0.00,2477,1831,157,0.000,2609.58
"-1,957","488,79",0.01,3058,1795,161,0.000,3056.87
"-2,064","503,34",0.01,4314,1740,164,0.000,4154.66
"-2,163","516,37",0.00,5034,1744,168,0.000,4781.94
"-2,17","518,81",0.00,5445,1663,167,0.000,5104.68
"-2,1","518,41",0.00,5510,1644,167,0.008,5220.27
"-2,095","519,22",0.00,5577,1574,171,0.053,5227.15
"-2,07","518,61",0.00,5488,1444,171,0.130,5033.62
"-2,054","516,57",0.00,5330,1301,171,0.165,4747.32
"-1,986","515,86",0.00,5461,1259,171,0.090,4905.19
